[0.000000] (-) TimerEvent: {}
[0.000586] (ur_description) JobQueued: {'identifier': 'ur_description', 'dependencies': OrderedDict()}
[0.309965] (ur_description) StdoutLine: {'line': b'-- Install configuration: ""\n'}
[0.310895] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/config\n'}
[0.312160] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/config/ur30\n'}
[0.313995] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/config/ur30/joint_limits.yaml\n'}
[0.314492] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/config/ur30/default_kinematics.yaml\n'}
[0.315093] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/config/ur30/physical_parameters.yaml\n'}
[0.315503] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/config/ur30/visual_parameters.yaml\n'}
[0.316475] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/config/ur16e\n'}
[0.316670] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/config/ur16e/joint_limits.yaml\n'}
[0.316809] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/config/ur16e/default_kinematics.yaml\n'}
[0.317028] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/config/ur16e/physical_parameters.yaml\n'}
[0.317242] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/config/ur16e/visual_parameters.yaml\n'}
[0.317940] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/config/ur20\n'}
[0.318851] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/config/ur20/joint_limits.yaml\n'}
[0.319106] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/config/ur20/default_kinematics.yaml\n'}
[0.319289] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/config/ur20/physical_parameters.yaml\n'}
[0.319498] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/config/ur20/visual_parameters.yaml\n'}
[0.319796] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/config/ur10e\n'}
[0.320424] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/config/ur10e/joint_limits.yaml\n'}
[0.320622] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/config/ur10e/default_kinematics.yaml\n'}
[0.320799] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/config/ur10e/physical_parameters.yaml\n'}
[0.320944] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/config/ur10e/visual_parameters.yaml\n'}
[0.321132] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/config/ur3e\n'}
[0.321687] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/config/ur3e/joint_limits.yaml\n'}
[0.321912] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/config/ur3e/default_kinematics.yaml\n'}
[0.322249] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/config/ur3e/physical_parameters.yaml\n'}
[0.322701] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/config/ur3e/visual_parameters.yaml\n'}
[0.323280] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/config/ur5\n'}
[0.323433] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/config/ur5/joint_limits.yaml\n'}
[0.323529] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/config/ur5/default_kinematics.yaml\n'}
[0.323617] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/config/ur5/physical_parameters.yaml\n'}
[0.323706] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/config/ur5/visual_parameters.yaml\n'}
[0.323882] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/config/ur5e\n'}
[0.324890] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/config/ur5e/joint_limits.yaml\n'}
[0.325373] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/config/ur5e/default_kinematics.yaml\n'}
[0.325771] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/config/ur5e/physical_parameters.yaml\n'}
[0.326635] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/config/ur5e/visual_parameters.yaml\n'}
[0.327026] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/config/ur10\n'}
[0.327343] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/config/ur10/joint_limits.yaml\n'}
[0.327674] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/config/ur10/default_kinematics.yaml\n'}
[0.327993] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/config/ur10/physical_parameters.yaml\n'}
[0.328843] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/config/ur10/visual_parameters.yaml\n'}
[0.329576] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/config/initial_positions.yaml\n'}
[0.330360] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/config/ur3\n'}
[0.331796] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/config/ur3/joint_limits.yaml\n'}
[0.332135] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/config/ur3/default_kinematics.yaml\n'}
[0.333136] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/config/ur3/physical_parameters.yaml\n'}
[0.334112] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/config/ur3/visual_parameters.yaml\n'}
[0.334651] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/launch\n'}
[0.335131] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/launch/view_ur.launch.py\n'}
[0.335512] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/launch/__pycache__\n'}
[0.336302] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/launch/__pycache__/view_ur.launch.cpython-310.pyc\n'}
[0.336514] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/meshes\n'}
[0.336620] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/meshes/ur30\n'}
[0.336734] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/meshes/ur30/visual\n'}
[0.337914] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/meshes/ur30/visual/UR30_DIFF_8bit_2K.png\n'}
[0.338329] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/meshes/ur30/visual/forearm.dae\n'}
[0.338514] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/meshes/ur30/visual/upperarm.dae\n'}
[0.338666] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/meshes/ur30/LICENSE.txt\n'}
[0.338763] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/meshes/ur30/collision\n'}
[0.339663] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/meshes/ur30/collision/upperarm.stl\n'}
[0.339955] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/meshes/ur30/collision/forearm.stl\n'}
[0.340369] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/meshes/ur16e\n'}
[0.341273] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/meshes/ur16e/visual\n'}
[0.342510] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/meshes/ur16e/visual/forearm.dae\n'}
[0.342707] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/meshes/ur16e/visual/upperarm.dae\n'}
[0.342882] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/meshes/ur16e/collision\n'}
[0.343749] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/meshes/ur16e/collision/upperarm.stl\n'}
[0.343946] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/meshes/ur16e/collision/forearm.stl\n'}
[0.344083] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/meshes/ur20\n'}
[0.344962] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/meshes/ur20/visual\n'}
[0.346490] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/meshes/ur20/visual/wrist1.dae\n'}
[0.347561] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/meshes/ur20/visual/shoulder.dae\n'}
[0.347754] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/meshes/ur20/visual/base.dae\n'}
[0.348012] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/meshes/ur20/visual/forearm.dae\n'}
[0.348199] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/meshes/ur20/visual/upperarm.dae\n'}
[0.348413] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/meshes/ur20/visual/wrist2.dae\n'}
[0.348613] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/meshes/ur20/visual/wrist3.dae\n'}
[0.349670] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/meshes/ur20/visual/UR20_DIFF_8bit_2K.png\n'}
[0.350259] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/meshes/ur20/LICENSE.txt\n'}
[0.350538] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/meshes/ur20/collision\n'}
[0.350902] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/meshes/ur20/collision/upperarm.stl\n'}
[0.351043] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/meshes/ur20/collision/wrist1.stl\n'}
[0.351179] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/meshes/ur20/collision/wrist2.stl\n'}
[0.351312] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/meshes/ur20/collision/wrist3.stl\n'}
[0.351459] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/meshes/ur20/collision/forearm.stl\n'}
[0.351833] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/meshes/ur20/collision/shoulder.stl\n'}
[0.352088] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/meshes/ur20/collision/base.stl\n'}
[0.352629] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/bridgetw/cooking_robot/install/ur_description/share/ur_description/meshes/ur10e\n'}
